"address_id","address","address2","district","city_id","postal_code","phone","location","last_update"
20,"360 Toulouse Parkway","",England,495,"54308","949312333307",POINT (0.7143363 51.5378203),"2014-09-25 22:33:40"
21,"270 Toulon Boulevard","",Kalmykia,156,"81766","407752414682",POINT (44.2558374 46.3077803),"2014-09-25 22:32:48"
22,"320 Brest Avenue","",Kaduna,252,"43331","747791594069",POINT (7.4382858 10.5222412),"2014-09-25 22:32:25"
23,"1417 Lancaster Avenue","",Northern Cape,267,"72192","272572357893",POINT (24.7623254 -28.7322674),"2014-09-25 22:33:03"
24,"1688 Okara Way","",Nothwest Border Prov,327,"21954","144453869132",POINT (0 0),"2014-09-25 22:32:30"
25,"262 A Corua (La Corua) Parkway","",Dhaka,525,"34418","892775750063",POINT (89.9165584 24.2498482),"2014-09-25 22:30:12"
26,"28 Charlotte Amalie Street","",Rabat-Sal-Zammour-Z,443,"37551","161968374323",POINT (0 0),"2014-09-25 22:32:16"
27,"1780 Hino Boulevard","",Liepaja,303,"7716","902731229323",POINT (21.0166781 56.5166715),"2014-09-25 22:31:58"
28,"96 Tafuna Way","",Córdoba,128,"99865","934730187245",POINT (0 0),"2014-09-25 22:30:05"
29,"934 San Felipe de Puerto Plata Street","",Sind,472,"99780","196495945706",POINT (68.6378981 27.9570677),"2014-09-25 22:32:31"
30,"18 Duisburg Boulevard","","",121,"58327","998009777982",POINT (0 0),"2014-09-25 22:31:08"
31,"217 Botshabelo Place","",Southern Mindanao,138,"49521","665356572025",POINT (0 0),"2014-09-25 22:32:36"
32,"1425 Shikarpur Manor","",Bihar,346,"65599","678220867005",POINT (86.4735203 25.3755655),"2014-09-25 22:31:20"
33,"786 Aurora Avenue","",Yamaguchi,474,"65750","18461860151",POINT (130.9570667 33.9587914),"2014-09-25 22:31:53"
34,"1668 Anpolis Street","",Taipei,316,"50199","525255540978",POINT (0 0),"2014-09-25 22:33:15"
35,"33 Gorontalo Way","",West Bengali,257,"30348","745994947458",POINT (88.3747238 22.6711153),"2014-09-25 22:31:18"
36,"176 Mandaluyong Place","",Uttar Pradesh,239,"65213","627705991774",POINT (78.5822145 25.4544634),"2014-09-25 22:31:17"
37,"127 Purnea (Purnia) Manor","",Piemonte,17,"79388","911872220378",POINT (8.6100757 44.9092442),"2014-09-25 22:31:42"
38,"61 Tama Street","",Okayama,284,"94065","708403338270",POINT (133.7666798 34.5833369),"2014-09-25 22:31:49"
39,"391 Callao Drive","",Midi-Pyrnes,544,"34021","440512153169",POINT (0 0),"2014-09-25 22:31:01"
40,"334 Munger (Monghyr) Lane","",Markazi,31,"38145","481183273622",POINT (49.6891697 34.0917421),"2014-09-25 22:31:36"
41,"1440 Fukuyama Loop","",Henan,362,"47929","912257250465",POINT (112.5327806 32.9947239),"2014-09-25 22:30:40"
42,"269 Cam Ranh Parkway","",Chisinau,115,"34689","489783829737",POINT (28.8575834 47.0055601),"2014-09-25 22:32:15"
43,"306 Antofagasta Place","",Esprito Santo,569,"3989","378318851631",POINT (0 0),"2014-09-25 22:30:23"
44,"671 Graz Street","",Oriental,353,"94399","680768868518",POINT (-2.9335289 35.1681312),"2014-09-25 22:32:16"
45,"42 Brindisi Place","",Yerevan,586,"16744","42384721397",POINT (44.5136157 40.1811198),"2014-09-25 22:30:08"
46,"1632 Bislig Avenue","",Nonthaburi,394,"61117","471675840679",POINT (100.4988397 13.9130104),"2014-09-25 22:33:20"
47,"1447 Imus Way","",Tahiti,167,"48942","539758313890",POINT (-149.6843672 -17.5546957),"2014-09-25 22:31:02"
48,"1998 Halifax Drive","",Lipetsk,308,"76022","177727722820",POINT (39.5707653 52.6031163),"2014-09-25 22:32:54"
49,"1718 Valencia Street","",Antofagasta,27,"37359","675292816413",POINT (-70.3954856 -23.6523691),"2014-09-25 22:30:29"
50,"46 Pjatigorsk Lane","",Moscow (City),343,"23616","262076994845",POINT (37.5386455 55.7488297),"2014-09-25 22:32:55"
51,"686 Garland Manor","",Cear,247,"52535","69493378813",POINT (0 0),"2014-09-25 22:30:19"
52,"909 Garland Manor","",Tatarstan,367,"69367","705800322606",POINT (51.8244755 55.6365792),"2014-09-25 22:32:55"
53,"725 Isesaki Place","",Mekka,237,"74428","876295323994",POINT (39.1979758 21.5423826),"2014-09-25 22:33:00"
54,"115 Hidalgo Parkway","",Khartum,379,"80168","307703950263",POINT (32.4777359 15.6445381),"2014-09-25 22:33:11"
55,"1135 Izumisano Parkway","",California,171,"48150","171822533480",POINT (-117.4350521 34.0922301),"2014-09-25 22:33:50"
56,"939 Probolinggo Loop","",Galicia,1,"4166","680428310138",POINT (0 0),"2014-09-25 22:33:08"
57,"17 Kabul Boulevard","",Chiba,355,"38594","697760867968",POINT (139.9026668 35.8563057),"2014-09-25 22:31:51"
58,"1964 Allappuzha (Alleppey) Street","",Yamaguchi,227,"48980","920811325222",POINT (132.2220908 34.1629706),"2014-09-25 22:31:47"
59,"1697 Kowloon and New Kowloon Loop","",Moskova,49,"57807","499352017190",POINT (0 0),"2014-09-25 22:32:47"
60,"1668 Saint Louis Place","",Tahiti,397,"39072","347487831378",POINT (-149.5665635 -17.5373362),"2014-09-25 22:31:02"
61,"943 Tokat Street","",Vaduz,560,"45428","889318963672",POINT (9.5215498 47.1415115),"2014-09-25 22:31:58"
62,"1114 Liepaja Street","",Sarawak,282,"69226","212869228936",POINT (110.3333389 1.5570314),"2014-09-25 22:32:00"
63,"1213 Ranchi Parkway","",Karnataka,350,"94352","800024380485",POINT (766456911 13.5639657),"2014-09-25 22:31:21"
64,"81 Hodeida Way","",Rajasthan,231,"55561","250767749542",POINT (75.7878198 26.9196216),"2014-09-25 22:31:17"
65,"915 Ponce Place","",Basel-Stadt,56,"83980","1395251317",POINT (7.5732756 47.5583998),"2014-09-25 22:33:12"
66,"1717 Guadalajara Lane","",Missouri,441,"85505","914090181665",POINT (-90.1978931 38.6272726),"2014-09-25 22:33:59"
67,"1214 Hanoi Way","",Nebraska,306,"67055","491001136577",POINT (-96.6669636 40.8194939),"2014-09-25 22:33:56"
68,"1966 Amroha Avenue","",Sichuan,139,"70385","333489324603",POINT (107.5009216 31.2159254),"2014-09-25 22:30:32"
69,"698 Otsu Street","",Cayenne,105,"71110","409983924481",POINT (-52.3333399 4.9333377),"2014-09-25 22:31:02"
70,"1150 Kimchon Manor","",Skne ln,321,"96109","663449333709",POINT (0 0),"2014-09-25 22:33:11"
71,"1586 Guaruj Place","",Hunan,579,"5135","947233365992",POINT (112.9985807 27.8519136),"2014-09-25 22:30:46"
72,"57 Arlington Manor","",Madhya Pradesh,475,"48960","990214419142",POINT (77.6514276 25.4308235),"2014-09-25 22:31:27"
73,"1031 Daugavpils Parkway","",Béchar,63,"59025","107137400143",POINT (0 0),"2014-09-25 22:29:59"
74,"1124 Buenaventura Drive","",Mekka,13,"6856","407733804223",POINT (0 0),"2014-09-25 22:32:59"
75,"492 Cam Ranh Street","",Eastern Visayas,61,"50805","565018274456",POINT (124.8006205 10.6785254),"2014-09-25 22:32:34"
76,"89 Allappuzha (Alleppey) Manor","",National Capital Reg,517,"75444","255800440636",POINT (0 0),"2014-09-25 22:32:39"
77,"1947 Poos de Caldas Boulevard","",Chiayi,114,"60951","427454485876",POINT (120.3928389 23.4617851),"2014-09-25 22:33:14"
78,"1206 Dos Quebradas Place","",São Paulo,431,"20207","241832790687",POINT (0 0),"2014-09-25 22:30:21"
79,"1551 Rampur Lane","",Changhwa,108,"72394","251164340471",POINT (0 0),"2014-09-25 22:33:14"
80,"602 Paarl Street","",Pavlodar,402,"98889","896314772871",POINT (77.0043801 52.2740146),"2014-09-25 22:31:55"
81,"1692 Ede Loop","",São Paulo,30,"9223","918711376618",POINT (0 0),"2014-09-25 22:30:16"
82,"936 Salzburg Lane","",Uttar Pradesh,425,"96709","875756771675",POINT (81.2449939 26.2191025),"2014-09-25 22:31:24"
83,"586 Tete Way","",Kanagawa,256,"1079","18581624103",POINT (139.5502887 35.3088962),"2014-09-25 22:31:48"
84,"1888 Kabul Drive","",Oyo & Osun,217,"20936","701457319790",POINT (0 0),"2014-09-25 22:32:24"
85,"320 Baiyin Parkway","",Mahajanga,319,"37307","223664661973",POINT (46.3166743 -15.7166741),"2014-09-25 22:31:59"
86,"927 Baha Blanca Parkway","",Krim,479,"9495","821972242086",POINT (34.1107975 44.9571971),"2014-09-25 22:33:33"
87,"929 Tallahassee Loop","",Gauteng,497,"74671","800716535041",POINT (28.4194136 -26.2533214),"2014-09-25 22:33:06"
88,"125 Citt del Vaticano Boulevard","",Puebla,40,"67912","48417642933",POINT (-98.4361382 18.9081595),"2014-09-25 22:32:02"
89,"1557 Ktahya Boulevard","",England,88,"88002","720998247660",POINT (-1.7520692 53.7939173),"2014-09-25 22:33:36"
90,"870 Ashqelon Loop","",Songkhla,489,"84931","135117278909",POINT (100.5951996 7.1988262),"2014-09-25 22:33:20"
91,"1740 Portoviejo Avenue","",Sucre,480,"29932","198123170793",POINT (-75.3977888 9.3047285),"2014-09-25 22:30:53"
92,"1942 Ciparay Parkway","",Cheju,113,"82624","978987363654",POINT (126.5461176 33.4016753),"2014-09-25 22:33:06"
93,"1926 El Alto Avenue","",Buenos Aires,289,"75543","846225459260",POINT (-57.9545302 -34.9214582),"2014-09-25 22:30:05"
94,"1952 Chatsworth Drive","",Guangdong,332,"25958","991562402283",POINT (116.1337663 24.3536429),"2014-09-25 22:30:40"
95,"1370 Le Mans Avenue","",Brunei and Muara,53,"52163","345679835036",POINT (114.9480606 4.9402974),"2014-09-25 22:30:23"
96,"984 Effon-Alaiye Avenue","",Gois,183,"17119","132986892228",POINT (0 0),"2014-09-25 22:30:17"
97,"832 Nakhon Sawan Manor","",Inner Mongolia,592,"49021","275595571388",POINT (122.7166725 486172957),"2014-09-25 22:30:50"
98,"152 Kitwe Parkway","",Caraga,82,"53182","835433605312",POINT (126.3163958 8.2152827),"2014-09-25 22:32:35"
99,"1697 Tanauan Lane","",Punjab,399,"22870","4764773857",POINT (75.6449709 32.3316749),"2014-09-25 22:31:22"
100,"1308 Arecibo Way","",Georgia,41,"30695","6171054059",POINT (-81.9748497 33.4709748),"2014-09-25 22:33:43"
101,"1599 Plock Drive","",Tete,534,"71986","817248913162",POINT (33.5866733 -16.1563948),"2014-09-25 22:32:18"
102,"669 Firozabad Loop","",Abu Dhabi,12,"92265","412903167998",POINT (55.7605667 24.1916795),"2014-09-25 22:33:35"
103,"588 Vila Velha Manor","",Kyongsangbuk,268,"51540","333339908719",POINT (0 0),"2014-09-25 22:33:07"
104,"1913 Kamakura Place","",Lipetsk,238,"97287","942570536750",POINT (0 0),"2014-09-25 22:32:49"
105,"733 Mandaluyong Place","",Asir,2,"77459","196568435814",POINT (42.5052814 18.2163937),"2014-09-25 22:32:59"
106,"659 Vaduz Drive","",Ha Darom,34,"49708","709935135487",POINT (0 0),"2014-09-25 22:31:40"
107,"1177 Jelets Way","",Kwara & Kogi,220,"3305","484292626944",POINT (4.5546462 8.5497914),"2014-09-25 22:32:24"
108,"1386 Yangor Avenue","",Provence-Alpes-Cte,543,"80720","449216226468",POINT (0 0),"2014-09-25 22:31:01"
109,"454 Nakhon Sawan Boulevard","",Funafuti,173,"76383","963887147572",POINT (179.1941789 -8.5242561),"2014-09-25 22:33:31"
110,"1867 San Juan Bautista Tuxtepec Avenue","",Ivanovo,225,"78311","547003310357",POINT (40.9713993 56.9971905),"2014-09-25 22:32:48"
111,"1532 Dzerzinsk Way","",Buenos Aires,334,"9599","330838016880",POINT (-58.7282854 -34.6658341),"2014-09-25 22:30:06"
112,"1002 Ahmadnagar Manor","",Mxico,213,"93026","371490777743",POINT (0 0),"2014-09-25 22:32:07"
113,"682 Junan Way","",North West,273,"30418","622255216127",POINT (26.6667296 -26.8521304),"2014-09-25 22:33:04"
114,"804 Elista Drive","",Hubei,159,"61069","379804592943",POINT (109.4833346 30.3716555),"2014-09-25 22:30:33"
115,"1378 Alvorada Avenue","",Distrito Federal,102,"75834","272234298332",POINT (-66.8791948 10.4880184),"2014-09-25 22:34:03"
116,"793 Cam Ranh Avenue","",California,292,"87057","824370924746",POINT (-118.1367498 34.6980486),"2014-09-25 22:33:55"
117,"1079 Tel Aviv-Jaffa Boulevard","",Sucre,132,"10885","358178933857",POINT (0 0),"2014-09-25 22:34:04"
118,"442 Rae Bareli Place","",Nordrhein-Westfalen,148,"24321","886636413768",POINT (6.7651616 51.4324703),"2014-09-25 22:31:04"
119,"1107 Nakhon Sawan Avenue","",Mxico,365,"75149","867546627903",POINT (0 0),"2014-09-25 22:32:11"
120,"544 Malm Parkway","",Central Java,403,"63502","386759646229",POINT (109.3666757 -6.9424081),"2014-09-25 22:31:34"
121,"1967 Sincelejo Place","",Gujarat,176,"73644","577812616052",POINT (72.6833332 23.2166788),"2014-09-25 22:31:16"
122,"333 Goinia Way","",Texas,185,"78625","909029256431",POINT (-96.9977802 32.7459686),"2014-09-25 22:33:51"
123,"1987 Coacalco de Berriozbal Loop","",al-Qalyubiya,476,"96065","787654415858",POINT (31.2505396 30.1251153),"2014-09-25 22:30:58"
124,"241 Mosul Lane","",Risaralda,147,"76157","765345144779",POINT (-75.6672757 4.8391685),"2014-09-25 22:30:52"
125,"211 Chiayi Drive","",Uttar Pradesh,164,"58186","665993880048",POINT (79.0215973 26.7778423),"2014-09-25 22:31:15"
126,"1175 Tanauan Way","",Lima,305,"64615","937222955822",POINT (-77.0282484 -12.0431865),"2014-09-25 22:32:33"
127,"117 Boa Vista Way","",Uttar Pradesh,566,"6804","677976133614",POINT (83.0104161 25.3166821),"2014-09-25 22:31:29"
128,"848 Tafuna Manor","",Kütahya,281,"45142","614935229095",POINT (0 0),"2014-09-25 22:33:27"
129,"569 Baicheng Lane","",Gauteng,85,"60304","490211944645",POINT (28.2595823 -26.2119716),"2014-09-25 22:33:02"
130,"1666 Qomsheh Drive","",São Paulo,410,"66255","582835362905",POINT (0 0),"2014-09-25 22:30:20"
131,"801 Hagonoy Drive","",Smolensk,484,"8439","237426099212",POINT (32.0401193 54.7818296),"2014-09-25 22:32:57"
132,"1050 Garden Grove Avenue","",Slaskie,236,"4999","973047364353",POINT (0 0),"2014-09-25 22:32:42"
133,"1854 Tieli Street","",Shandong,302,"15819","509492324775",POINT (115.9776621 36.4559676),"2014-09-25 22:30:39"
134,"758 Junan Lane","",Gois,190,"82639","935448624185",POINT (0 0),"2014-09-25 22:30:18"
135,"1752 So Leopoldo Parkway","",Taka-Karpatia,345,"14014","252265130067",POINT (0 0),"2014-09-25 22:33:32"
136,"898 Belm Manor","",Free State,87,"49757","707169393853",POINT (26.7052868 -29.2701604),"2014-09-25 22:33:02"
137,"261 Saint Louis Way","",Coahuila de Zaragoza,541,"83401","321944036800",POINT (0 0),"2014-09-25 22:32:13"
138,"765 Southampton Drive","",al-Qalyubiya,421,"4285","23712411567",POINT (31.2056807 30.1792216),"2014-09-25 22:30:57"
139,"943 Johannesburg Avenue","",Maharashtra,417,"5892","90921003005",POINT (73.8553565 18.5195797),"2014-09-25 22:31:24"
140,"788 Atinsk Street","",Karnataka,211,"81691","146497509724",POINT (758133303 15.4501336),"2014-09-25 22:31:17"
141,"1749 Daxian Place","",Gelderland,29,"11044","963369996279",POINT (5.9694471 52.2194571),"2014-09-25 22:32:20"
142,"1587 Sullana Lane","",Inner Mongolia,207,"85769","468060467018",POINT (111.6522231 40.8105654),"2014-09-25 22:30:35"
143,"1029 Dzerzinsk Manor","",Ynlin,542,"57519","33173584456",POINT (0 0),"2014-09-25 22:33:16"
144,"1666 Beni-Mellal Place","",Tennessee,123,"13377","9099941466",POINT (-87.3594586 36.5297793),"2014-09-25 22:33:48"
145,"928 Jaffna Loop","",Hiroshima,172,"93762","581852137991",POINT (133.3666742 34.4833354),"2014-09-25 22:31:45"
146,"483 Ljubertsy Parkway","",Scotland,149,"60562","581174211853",POINT (-2.9748951 56.4691327),"2014-09-25 22:33:36"
147,"374 Bat Yam Boulevard","",Kilis,266,"97700","923261616249",POINT (37.1154257 36.7161151),"2014-09-25 22:33:26"
148,"1027 Songkhla Manor","",Minsk,340,"30861","563660187896",POINT (0 0),"2014-09-25 22:30:13"
149,"999 Sanaa Loop","",Gauteng,491,"3439","918032330119",POINT (28.0991912 -25.4728869),"2014-09-25 22:33:05"
150,"879 Newcastle Way","",Michigan,499,"90732","206841104594",POINT (-83.0302359 42.5803102),"2014-09-25 22:34:01"
151,"1337 Lincoln Parkway","",Saitama,555,"99457","597815221267",POINT (139.6452896 35.8616754),"2014-09-25 22:31:55"
152,"1952 Pune Lane","",Saint-Denis,442,"92150","354615066969",POINT (0 0),"2014-09-25 22:32:46"
153,"782 Mosul Street","",Massachusetts,94,"25545","885899703621",POINT (-71.0183899 42.0834357),"2014-09-25 22:33:46"
154,"781 Shimonoseki Drive","",Michoacn de Ocampo,202,"95444","632316273199",POINT (0 0),"2014-09-25 22:32:06"
155,"1560 Jelets Boulevard","",Shandong,291,"77777","189446090264",POINT (117.6569432 36.1927835),"2014-09-25 22:30:38"
156,"1963 Moscow Place","",Assam,354,"64863","761379480249",POINT (92.6922571 26.3503746),"2014-09-25 22:31:21"
157,"456 Escobar Way","",Jakarta Raya,232,"36061","719202533520",POINT (106.8451399 -6.2146236),"2014-09-25 22:31:33"
158,"798 Cianjur Avenue","",Shanxi,590,"76990","499408708580",POINT (110.9927885 35.0230678),"2014-09-25 22:30:49"
159,"185 Novi Sad Place","",Bern,72,"41778","904253967161",POINT (7.4474467 46.9480957),"2014-09-25 22:33:13"
160,"1367 Yantai Manor","",Ondo & Ekiti,381,"21294","889538496300",POINT (5.0833356 7.1666732),"2014-09-25 22:32:26"
161,"1386 Nakhon Sawan Boulevard","",Pyongyang-si,420,"53502","368899174225",POINT (125.7543291 39.0338568),"2014-09-25 22:32:28"
162,"369 Papeete Way","",North Carolina,187,"66639","170117068815",POINT (-79.7919837 36.0726408),"2014-09-25 22:33:52"
163,"1440 Compton Place","",North Austria,307,"81037","931059836497",POINT (0 0),"2014-09-25 22:30:10"
164,"1623 Baha Blanca Manor","",Moskova,310,"81511","149981248346",POINT (0 0),"2014-09-25 22:32:54"
165,"97 Shimoga Avenue","",Tel Aviv,533,"44660","177167004331",POINT (34.7805719 32.0808879),"2014-09-25 22:31:41"
166,"1740 Le Mans Loop","",Pays de la Loire,297,"22853","168476538960",POINT (0.2925425 489535594),"2014-09-25 22:31:01"
167,"1287 Xi´angfan Boulevard","",Gifu,253,"57844","819416131190",POINT (136.8666778 35.4166765),"2014-09-25 22:31:48"
168,"842 Salzburg Lane","",Adana,529,"3313","697151428760",POINT (35.6654367 37.2994811),"2014-09-25 22:33:29"
169,"154 Tallahassee Loop","",Xinxiang,199,"62250","935508855935",POINT (0 0),"2014-09-25 22:30:34"
170,"710 San Felipe del Progreso Avenue","",Lilongwe,304,"76901","843801144113",POINT (33.7872564 -13.9669289),"2014-09-25 22:31:59"
171,"1540 Wroclaw Drive","",Maharashtra,107,"62686","182363341674",POINT (79.2960722 19.9471171),"2014-09-25 22:31:14"
172,"475 Atinsk Way","",Gansu,240,"59571","201705577290",POINT (102.1937901 38.5006258),"2014-09-25 22:30:36"
173,"1294 Firozabad Drive","",Ji´angxi,407,"70618","161801569569",POINT (113.8700962 27.5781343),"2014-09-25 22:30:40"
174,"1877 Ezhou Lane","",Rajasthan,550,"63337","264541743403",POINT (73.6918333 24.5711714),"2014-09-25 22:31:28"
175,"316 Uruapan Street","",Perak,223,"58194","275788967899",POINT (101.0829914 4.5841352),"2014-09-25 22:31:59"
176,"29 Pyongyang Loop","",Batman,58,"47753","734780743462",POINT (41.1322155 37.8873816),"2014-09-25 22:33:23"
177,"1010 Klerksdorp Way","",Steiermark,186,"6802","493008546874",POINT (15.4512761 47.0666727),"2014-09-25 22:30:10"
178,"1848 Salala Boulevard","",Miranda,373,"25220","48265851133",POINT (-66.7760937 10.1164909),"2014-09-25 22:34:04"
179,"431 Xi´angtan Avenue","",Kerala,18,"4854","230250973122",POINT (0 0),"2014-09-25 22:31:10"
180,"757 Rustenburg Avenue","",Skikda,483,"89668","506134035434",POINT (6.9092172 36.8761757),"2014-09-25 22:30:01"
181,"146 Johannesburg Way","",Tamaulipas,330,"54132","953689007081",POINT (-97.5041713 25.8797291),"2014-09-25 22:32:09"
182,"1891 Rizhao Boulevard","",São Paulo,456,"47288","391065549876",POINT (0 0),"2014-09-25 22:30:21"
183,"1089 Iwatsuki Avenue","",Kirov,270,"35109","866092335135",POINT (0 0),"2014-09-25 22:32:50"
184,"1410 Benin City Parkway","",Risaralda,405,"29747","104150372603",POINT (-75.6961154 4.8133305),"2014-09-25 22:30:52"
185,"682 Garden Grove Place","",Tennessee,333,"67497","72136330362",POINT (-90.0489828 35.1495346),"2014-09-25 22:33:57"
186,"533 al-Ayn Boulevard","",California,126,"8862","662227486184",POINT (-118.2200788 33.8958567),"2014-09-25 22:33:48"
187,"1839 Szkesfehrvr Parkway","",Gois,317,"55709","947468818183",POINT (0 0),"2014-09-25 22:30:20"
188,"741 Ambattur Manor","",Noord-Brabant,438,"43310","302590383819",POINT (5.3041706 51.6991772),"2014-09-25 22:32:21"
189,"927 Barcelona Street","",Chaharmahal va Bakht,467,"65121","951486492670",POINT (0 0),"2014-09-25 22:31:38"
190,"435 0 Way","",West Bengali,195,"74750","760171523969",POINT (88.1097549 22.0604684),"2014-09-25 22:31:16"
191,"140 Chiayi Parkway","",Sumy,506,"38982","855863906434",POINT (34.8002989 50.9216315),"2014-09-25 22:33:34"
192,"1166 Changhwa Street","",Caraga,62,"58852","650752094490",POINT (125.7675248 8.7561117),"2014-09-25 22:32:34"
193,"891 Novi Sad Manor","",Ontario,383,"5379","247646995453",POINT (-78.8495705 43.9001243),"2014-09-25 22:30:28"
194,"605 Rio Claro Parkway","",Tabora,513,"49348","352469351088",POINT (32.8266393 -5.0162258),"2014-09-25 22:33:18"
195,"1077 San Felipe de Puerto Plata Place","",Rostov-na-Donu,369,"65387","812824036424",POINT (0 0),"2014-09-25 22:32:56"
196,"9 San Miguel de Tucumn Manor","",Uttar Pradesh,169,"90845","956188728558",POINT (78.4018032 27.1494196),"2014-09-25 22:31:15"
197,"447 Surakarta Loop","",Nyanza,271,"10428","940830176580",POINT (0 0),"2014-09-25 22:31:56"
198,"345 Oshawa Boulevard","",Tokyo-to,204,"32114","104491201771",POINT (139.4002884 35.6730684),"2014-09-25 22:31:45"
199,"1792 Valle de la Pascua Place","",Nordrhein-Westfalen,477,"15540","419419591240",POINT (8.0243129 50.8748198),"2014-09-25 22:31:06"
200,"1074 Binzhou Manor","",Baden-Wrttemberg,325,"36490","331132568928",POINT (0 0),"2014-09-25 22:31:05"
